"RespondentID","StartDate","EndDate","Consent","Position1","Position2","College","College2","PPT_TF","LMS_TF","Study_Guides_TF","Social_Media_TF","ETextbooks_TF","IC_Discussion_TF","Student_Participation_TF","MC_Exams_TF","Group_Projects_TF","Homework_TF","Papers_TF","Small_Discussion_TF","Other_Readings_TF","Clickers_TF","Essay_Exam_TF","Textbook_TF","Ind_Projects_TF","Demos_TF","Chlk_Wht_Brd_TF","Other2","All_Other_Pedagogies_TF","Rank1","Rank2","Rank3","Office_Hrs_TF","Interact_In_Class_TF","Outside_Office_Hrs_TF","Know_Names_TF","None","Interact_Other_2","Interact_Other_TF","Email_Time","Post_Grades_Time","Assignment_Return_Time","Meet_Time","Phone_Time","What_do_you_feel_is_are_misconceptions_students_have_about_the_course_Open_Ended_Response","If_there_are_any_other_questions_you_wish_were_included_in_this_survey_please_describe_Open_Ended_Response"
"1778364379","03/30/2012 00:26:45","03/30/2012 00:29:58","YES","Tenured Faculty","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","false","false","false","false","false","true","true","false","false","true","false","false","false","false","false","true","false","false","false","Live computer-generated examples","true","Homework","Textbooks","Other","true","true","true","false","","","false","Within 24 hours","Within a week","Within a week","Within 2 days","Within 24 hours","",""
"1778262695","03/29/2012 23:01:46","03/29/2012 23:05:16","YES","Adjunct Faculty","","College of Arts and Humanities","College of Arts and Humanities","true","true","false","false","false","true","true","false","true","true","true","true","true","false","false","false","false","false","true","peer review; course packs","true","In-class discussions","Learning Management System (Blackboard/ELMS/Moodle)","Student participation","true","true","true","true","","","false","Immediately","Within 2 days","Within a week","Immediately","Immediately","Answering their emails. they think I should be online 24 hrs./day. Also, wanting to discuss grades immediately.",""
"1778185778","03/29/2012 22:03:05","03/29/2012 22:08:53","YES","Tenured Faculty","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","false","false","false","false","false","true","false","false","false","true","false","true","false","false","false","true","false","false","true","","false","Homework","Textbooks","Other","true","false","false","false","","Lecture","true","Within a week","Within 2 days","Within 2 days","Within 2 days","Within 2 days","That less than two hours of study per hour of class will be sufficient.","Why should I take it seriously?"
"1777927960","03/29/2012 19:24:18","03/29/2012 19:25:59","YES","Graduate Student","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","true","true","true","false","false","true","true","true","false","true","true","false","false","false","true","true","false","true","false","","false","In-class discussions","Student participation","Group Projects","true","true","true","true","","","false","Immediately","Immediately","Immediately","Immediately","Never","",""
"1777909277","03/29/2012 19:12:52","03/29/2012 19:18:30","YES","Tenured Faculty","","College of Arts and Humanities","College of Arts and Humanities","true","true","true","false","false","true","false","false","true","false","true","false","false","false","true","false","false","false","true","","false","In-class discussions","Papers","Essay-based Exams","true","true","false","true","","","false","Within 24 hours","Within a week","Within a week","Within a week","Within 24 hours","",""
"1777885403","03/29/2012 19:00:34","03/29/2012 19:02:05","YES","Graduate Student","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","","false","Textbooks","In-class discussions","Homework","false","false","false","true","","","false","Immediately","Immediately","Immediately","Immediately","Immediately","",""
"1777826670","03/29/2012 18:28:59","03/29/2012 18:31:35","YES","Tenure Track Faculty","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","false","false","false","false","false","true","true","false","false","true","false","false","false","false","false","true","false","false","true","","false","Individual projects","Student participation","Homework","true","true","true","false","","","false","Within 2 days","Within a week","Within a week","Within a week","Never","",""
"1777794519","03/29/2012 18:11:31","03/29/2012 18:15:04","YES","Adjunct Faculty","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","false","false","true","false","false","true","false","false","false","true","false","false","false","false","false","true","false","false","true","","false","Homework","Textbooks","In-class discussions","true","true","true","true","","","false","Immediately","Within a week","Within a week","Within 24 hours","Within 24 hours","",""
"1777790216","03/29/2012 18:08:53","03/29/2012 18:11:25","YES","Non-tenured full-time teaching Faculty","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","true","true","false","true","","false","Homework","Small discussions groups","Individual projects","true","false","false","false","","","false","Immediately","Immediately","Within a week","Within a week","Never","That attending class and doing the HW should be enough to get an A.",""
"1777513588","03/29/2012 15:34:54","03/29/2012 15:39:01","YES","Tenure Track Faculty","","A. James Clark School of Engineering","Other STEM College","true","true","false","false","false","true","true","true","true","true","true","true","true","false","false","true","false","false","true","","false","Student participation","Power Point slides","Homework","true","true","true","false","","","false","Immediately","Within a week","Within a week","Within 2 days","Never","Students believe that they can make up poor performances on exams, homework, attendance by negotiating with the professor.",""
"1777342731","03/29/2012 14:01:01","03/29/2012 14:05:51","YES","Tenured Faculty","","College of Arts and Humanities","College of Arts and Humanities","true","true","false","false","false","true","true","false","true","true","true","true","true","false","false","false","true","false","false","","false","In-class discussions","Individual projects","Student participation","true","true","true","true","","","false","Within a week","Within a week","","Within a week","Never","Sometimes students want to know The Answer, which of course is not the way literary interpretation is taught.  Students are too grade-oriented, so I work hard to try and break them of being more invested in grades than they are in the content of the class.","As for returning assignments, you need to add another column more than a week or something.  I usually return mine in about a week, but 10+ pp. papers of 30 students usually takes 10 days (and students don't seem to mind).    Also, you ask no questions about online discussions or crowdsource grading, both of which I use extensively, and students love both (at least in my classes)."
"1777331209","03/29/2012 13:54:01","03/29/2012 14:04:09","YES","Tenured Faculty","","College of Arts and Humanities","College of Arts and Humanities","true","true","true","false","true","true","true","false","false","false","true","true","true","false","true","false","true","true","false","film/video read as texts","true","Readings other than textbook","Learning Management System (Blackboard/ELMS/Moodle)","In-class discussions","true","true","true","false","","","false","Within 24 hours","Within 24 hours","Within 24 hours","Never","Never","Assume passivity on my part, as they are passive in the classroom as learned behavior in large class settings where nothing is required except sitting there.  My style begs them to participate, to work in groups, to engage in discussion about the readings and its been a struggle to get the majority to participate, but each class there is a new voice added to the responsive ones, so there is hope.  They react to powerpoint slides - again ignites some interest.","Not sure what can be done about the culture of passive learning.  Unless its about them directly, it is a struggle - at least this class this semester."
"1777227558","03/29/2012 12:46:38","03/29/2012 12:52:43","YES","Tenured Faculty","","A. James Clark School of Engineering","Other STEM College","true","true","false","false","false","true","true","false","false","true","false","false","false","false","false","true","false","false","false","","false","Homework","In-class discussions","Individual projects","false","true","true","true","","","false","Within 24 hours","Within 2 days","Within 2 days","Within 24 hours","Never","They think i should provide all material or links to same.",""
"1777225955","03/29/2012 12:45:18","03/29/2012 12:52:27","YES","Adjunct Faculty","","College of Arts and Humanities","College of Arts and Humanities","false","false","false","false","false","true","true","false","false","true","true","true","true","false","true","false","false","false","false","","false","In-class discussions","Homework","Student participation","false","true","true","true","","Be avail;able on email","true","Within 24 hours","Within 2 days","Within a week","Immediately","Never","That it involves little work outside classroom.  That it is easy to get an A.  That attendance is not important.","Students have changed and instructors must adapt. They are stressed and sometimes underprepared, so it is important to reiterate the basics (writing, critical thin king) early. Being there for the students is crucial, as is being up-to-date on the subject matter to make class relevant to students."
"1777132769","03/29/2012 11:14:27","03/29/2012 11:24:03","YES","Tenured Faculty","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","true","true","true","false","false","false","false","true","true","true","false","true","false","false","false","true","true","false","true","","false","Study guides","Group Projects","Small discussions groups","true","true","false","true","","","false","Within 24 hours","Within a week","Within a week","Within a week","Within 24 hours","That course is purchased service with the value being a grade rather than an opportunity to learn and obtain skills valuable for the future.","I would be interested in knowing what students and faculty expectations are on course evaluations."
"1777123661","03/29/2012 11:02:02","03/29/2012 11:19:36","YES","Tenured Faculty","","A. James Clark School of Engineering","Other STEM College","false","false","true","false","false","true","true","false","true","true","false","false","false","false","false","true","false","true","true","","false","Homework","In-class discussions","Textbooks","true","true","true","true","","","false","Immediately","Within 2 days","Within 2 days","Within 24 hours","Never","1.That they do not need to come to all lectures  2. That homework is not important  3. That everyone will pass regardless of their effort","What do students need to do to pass the course?  1. Attend ALL classes--ON TIME  2. Turn in all homework assignments  3. Study on a regular basis--not just before the tests  4. Do not copy other people's homework solutions  5 Come to the faculty office hours with prepared questions  6. Review the notes from the previous lecture prior to attending class."
"1777120383","03/29/2012 10:56:17","03/29/2012 11:08:20","YES","Tenured Faculty","","Office of Undergraduate Studies","Other","true","true","true","false","false","false","false","false","false","true","false","true","false","false","false","true","false","false","false","","false","Power Point slides","Study guides","Textbooks","true","true","true","false","","","false","Immediately","Within a week","Within a week","Immediately","Immediately","Students believe that they do not have to read required reading assignments to succeed in the course.  Students believe that they do not need to attend lectures or discussion sections to succeed in the course.  Students believe that they do not need to master materials presented in summary lecture notes and lecture powerpoint slides to succeed in the course.",""
"1776805662","03/29/2012 02:29:48","03/29/2012 02:37:57","YES","Tenured Faculty","","College of Arts and Humanities","College of Arts and Humanities","false","true","false","false","false","true","true","true","false","true","true","false","false","false","true","true","false","false","true","","false","In-class discussions","Papers","Homework","true","true","true","true","","","false","Immediately","","Within a week","","","",""
"1776620111","03/28/2012 23:27:55","03/28/2012 23:32:39","YES","Tenure Track Faculty","","A. James Clark School of Engineering","Other STEM College","true","true","true","false","false","false","true","false","false","true","false","false","false","false","false","true","false","false","false","","false","Textbooks","Homework","Learning Management System (Blackboard/ELMS/Moodle)","true","true","false","true","","","false","Within 2 days","Within 24 hours","Within a week","Within 24 hours","Within a week","The difficulty level of the class.  They thought the class is difficult, but it is not.","None"
"1776544202","03/28/2012 22:25:43","03/28/2012 22:29:16","YES","Tenured Faculty","","College of Arts and Humanities","College of Arts and Humanities","true","true","true","false","false","true","true","true","true","true","true","true","true","false","false","false","true","false","true","","false","Power Point slides","Individual projects","Essay-based Exams","true","true","true","true","","","false","Immediately","Immediately","Immediately","Immediately","Immediately","That they don't need to show up to class to at least get a C. That if they do show up to class, they will get a B or an A.",""
"1776517891","03/28/2012 22:07:32","03/28/2012 22:09:56","YES","Part-time Faculty","","College of Arts and Humanities","College of Arts and Humanities","true","true","false","false","false","true","true","false","true","false","true","false","true","false","false","true","true","false","false","","false","In-class discussions","Papers","Readings other than textbook","true","true","true","true","","","false","Within 2 days","Never","Within a week","Within 2 days","Never","My students occasionally complain about a lack of small group work or my chosen emphasis on discussion rather than simply lecturing.","Allow an option of 1-2 weeks for Question 7."
"1776509872","03/28/2012 21:55:37","03/28/2012 22:04:14","YES","Tenured Faculty","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","true","true","false","false","false","true","true","false","false","true","false","false","false","false","false","false","false","false","true","","false","Power Point slides","Homework","Learning Management System (Blackboard/ELMS/Moodle)","true","true","true","false","","","false","Within 24 hours","Within 2 days","Within a week","Within 2 days","Within 24 hours","",""
"1776499802","03/28/2012 21:55:14","03/28/2012 22:02:33","YES","Adjunct Faculty","","College of Arts and Humanities","College of Arts and Humanities","true","true","false","false","false","false","true","false","false","true","true","true","true","false","true","true","false","true","true","","false","Student participation","Papers","Small discussions groups","true","true","true","true","","","false","Immediately","Within a week","Within a week","Within 24 hours","Never","Sometimes, students have the misconception that they are entitled to an A because they or their parents paid for the course and that they turned in a paper.    Another one may be, and I don't mean to sound so cynical, but that, basically, I either live in my office and sleep under my desk, or sit at home watching my email, waiting for them to send me something I can print up and read.",""
"1776470591","03/28/2012 21:36:57","03/28/2012 21:40:10","YES","Non-tenured full-time teaching Faculty","","College of Arts and Humanities","College of Arts and Humanities","false","true","false","false","false","true","true","false","true","true","true","false","false","false","false","true","false","false","false","","false","Papers","Learning Management System (Blackboard/ELMS/Moodle)","In-class discussions","true","true","true","true","","","false","Within 24 hours","Within 24 hours","Within a week","Within 24 hours","Never","",""
"1776417466","03/28/2012 21:03:26","03/28/2012 21:10:58","YES","Tenured Faculty","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","true","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","","false","Student participation","Individual projects","Group Projects","false","false","false","false","","They expect us to entertain them.","true","Immediately","Within 24 hours","Within 24 hours","Within 24 hours","Never","Students are being led to believe that they must just clock the right amount of time being entertained in order to get a credential for the class. Having punched that time clock, they can move on. This is how they were taught in experiences prior to coming here and the view carries over. We are thus trending away from effective education. Things that are difficult, and stretch young minds, become things which are avoided by students or punished if faculty try them. Campus tolerates this trend away from effective and challenging goals since there is a perverse view that highly popular teaching practices (as measured by the CourseEvalUM system, an instrument that no scientist would use as basis for drawing any conclusion) somehow translate into good recruiting opportunities and ratings. This becomes even more perverse since promotions and (at least when we had them) raises were based in great part on measuring the wrong things.",""
"1776372931","03/28/2012 20:36:58","03/28/2012 20:40:40","YES","Adjunct Faculty","","College of Arts and Humanities","College of Arts and Humanities","true","true","false","false","false","true","true","false","false","true","true","false","false","false","false","false","true","false","true","","false","Papers","Learning Management System (Blackboard/ELMS/Moodle)","Student participation","true","true","true","true","","","false","Within 24 hours","Within a week","Within a week","Within 24 hours","Never","That missing class will not affect how well they do on class assignments.",""
"1776329206","03/28/2012 20:12:58","03/28/2012 20:16:05","YES","Tenured Faculty","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","false","false","false","false","false","true","true","false","false","true","false","false","false","false","false","true","false","false","true","","false","Homework","In-class discussions","Textbooks","true","true","false","false","","","false","Within 24 hours","Within 2 days","Within 2 days","Within 2 days","Within 24 hours","",""
"1776310500","03/28/2012 20:03:26","03/28/2012 20:08:32","YES","Tenure Track Faculty","","A. James Clark School of Engineering","Other STEM College","false","true","true","false","false","true","true","false","true","true","false","true","false","false","false","true","true","false","true","","false","Homework","In-class discussions","Small discussions groups","true","true","false","true","","Respond electronically to questions/concerns outside of class","true","Within 2 days","Within a week","Within a week","Within 2 days","Within 2 days","Students may believe that if they take goon notes, they will do well in the course.  In reality, they should practice the problem sets, and more importantly, they should discuss the concepts in groups.",""
"1776309334","03/28/2012 20:02:16","03/28/2012 20:05:37","YES","Tenured Faculty","","Robert H. Smith School of Business","Other","true","true","false","false","false","false","false","false","true","true","false","false","false","false","false","true","true","true","false","software","true","In-class discussions","Power Point slides","Homework","true","true","false","true","","","false","Within 24 hours","Within 24 hours","Within 2 days","Within 24 hours","Never","Expectations of the workload.  Rigor and level of difficulty in mastering material.",""
"1776273488","03/28/2012 19:44:11","03/28/2012 19:46:47","YES","Tenured Faculty","","College of Arts and Humanities","College of Arts and Humanities","true","true","false","false","false","true","true","false","false","true","false","false","true","false","false","false","false","false","false","","false","In-class discussions","Student participation","Readings other than textbook","true","true","true","true","","","false","Immediately","Immediately","Immediately","Immediately","Immediately","Students want everything immediately. However, I make clear from the outset, both on the syllabus and in going over the syllabus, all the more realistic components.",""
"1776272140","03/28/2012 19:43:32","03/28/2012 19:47:32","YES","Tenured Faculty","","College of Arts and Humanities","College of Arts and Humanities","false","true","false","false","false","true","true","false","false","true","true","false","true","false","false","false","false","false","true","","false","Papers","In-class discussions","Individual projects","true","true","true","true","","","false","Within 2 days","Within a week","Within a week","Within a week","Within 2 days","",""
"1776270337","03/28/2012 19:42:36","03/28/2012 19:45:07","YES","Tenure Track Faculty","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","true","false","true","false","false","true","true","false","true","true","true","false","true","false","false","false","true","true","true","","false","Group Projects","Individual projects","Student participation","true","true","true","true","","","false","Within 24 hours","Within a week","Within a week","Within a week","Within a week","","I think q7 should include an additional response option, which is within 2 weeks."
"1776219460","03/28/2012 19:16:27","03/28/2012 19:26:04","YES","Tenured Faculty","","College of Arts and Humanities","College of Arts and Humanities","false","true","false","false","false","true","true","false","true","true","true","false","false","false","true","true","false","false","false","","false","Textbooks","Papers","Student participation","true","true","true","true","","","false","Within 24 hours","Within 2 days","Within a week","Within a week","Within a week","That less reading & writing than they expect will be required, and that only grades A & B exist.",""
"1776207535","03/28/2012 19:11:08","03/28/2012 19:14:08","YES","Tenure Track Faculty","","A. James Clark School of Engineering","Other STEM College","true","true","false","false","false","false","false","false","false","true","false","false","false","false","false","true","false","false","true","","false","Homework","Textbooks","Power Point slides","true","true","true","false","","","false","Immediately","Within a week","Within a week","Within 2 days","Within 24 hours","",""
"1776207501","03/28/2012 19:11:01","03/28/2012 19:14:52","YES","Adjunct Faculty","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","true","false","false","false","false","true","true","false","false","false","false","true","true","false","false","false","false","false","true","","false","In-class discussions","Readings other than textbook","Student participation","false","true","true","true","","","false","Within 24 hours","Never","Within a week","Within 24 hours","Within 2 days","That learning is bestowed on them by a professor.  They often do not understand their ability and responsibility to learn on their own, and from each other.",""
"1776173155","03/28/2012 18:53:27","03/28/2012 19:05:44","YES","Graduate Student","","College of Agriculture and Natural Resources","Other STEM College","true","true","false","false","false","true","true","true","true","true","true","false","false","false","true","false","false","false","false","","false","Student participation","Group Projects","In-class discussions","true","true","true","false","","","false","Within 24 hours","Within a week","Within a week","Within 2 days","Never","They expect everything to be easy, results to be instantaneous much effort and answers to be spoon fed.",""
"1776134113","03/28/2012 18:33:12","03/28/2012 18:42:47","YES","Tenured Faculty","","College of Arts and Humanities","College of Arts and Humanities","true","true","false","false","false","true","true","true","false","false","true","false","false","false","false","false","false","false","false","","false","In-class discussions","Student participation","Demonstrations","true","true","true","false","","In this course? which course? I am confused. In all courses?","true","Within 2 days","Never","","","","misconceptions about the course? or the technology? or how it is taught? This is not a well formulated question.","I am completely confused by this survey. It doesn't speak to my experiences or understandings at all. For example, the idea that the list of stuff at beginning are a list of components of student learning is completely off base in my ways of thinking about all this. This doesn't feel like a well designed survey, and I am very worried about any results that it collects. This is not going to be good data in my opinion. --- Question 7's possible answers make it impossible to indicate that maybe returning assignments later than one week is one of the possibilities? within a week or never?"
"1776118674","03/28/2012 18:25:34","03/28/2012 18:28:13","YES","Adjunct Faculty","","College of Arts and Humanities","College of Arts and Humanities","true","false","false","false","false","true","false","false","false","true","true","false","true","false","true","true","false","false","false","","false","Student participation","Study guides","Individual projects","true","true","true","false","","","false","Within 24 hours","Within a week","Within a week","Within a week","Within 2 days","That there would be no essay assignments.","How many essays, if any, are assigned?"
"1776112063","03/28/2012 18:21:19","03/28/2012 18:30:31","YES","Other (please specify)","As of Jan. 2012, emeritus.","College of Arts and Humanities","College of Arts and Humanities","false","false","true","false","false","true","true","false","false","true","true","false","true","false","true","true","true","false","false","","false","In-class discussions","Textbooks","Student participation","true","true","true","true","","","false","Immediately","Within a week","Within a week","Within 24 hours","Within 24 hours","","How large a role should there be for lecturing, interspersed with back-and-forth questioning between students and teacher?"
"1776108838","03/28/2012 18:19:04","03/28/2012 18:28:53","YES","Graduate Student","","College of Arts and Humanities","College of Arts and Humanities","true","true","true","false","true","true","true","true","true","true","true","true","true","false","true","true","true","false","false","","false","Papers","In-class discussions","Textbooks","true","true","true","true","","Be accessible online","true","Within 24 hours","Within 24 hours","Within 2 days","Immediately","Never","Students usually think I can return papers with substantial feedback within a few days.  Students usually expect for me to be on campus and available on a daily basis.  Students usually would like more access than I am able to give (outside of office hours).",""
"1776104686","03/28/2012 18:17:52","03/28/2012 18:22:51","YES","Graduate Student","","College of Arts and Humanities","College of Arts and Humanities","false","true","false","false","false","true","true","false","false","true","true","false","false","false","false","true","false","false","true","","false","Papers","In-class discussions","Student participation","true","true","true","true","","","false","Within 24 hours","Within a week","Within a week","Within a week","Never","I teach ENGL101. Some students expect the course to focus more on literature, since it's an English class, when in fact the course focuses on academic writing and most of the readings are persuasive essays.",""
"1776083683","03/28/2012 18:07:08","03/28/2012 18:09:23","YES","Tenured Faculty","","College of Arts and Humanities","College of Arts and Humanities","false","true","false","false","false","true","true","false","false","true","true","true","false","false","true","false","true","false","false","","false","Papers","In-class discussions","Essay-based Exams","true","true","false","false","","","false","Within 24 hours","Within 2 days","Within a week","Within 2 days","Within 2 days","",""
